SMILES,targets
CCOC(=O)N(CC(/N=C/c1ccc(F)cc1)C1CCN(C(=O)OCc2ccccc2)CC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cccc(OC)c1)C1CCN(C(=O)OCc2ccccc2)CC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccncc1)C1CCN(C(=O)OCc2ccccc2)CC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(C)nc1)C1CCN(C(=O)OCc2ccccc2)CC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1cc(C)on1)C1CCN(C(=O)OCc2ccccc2)CC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1nccs1)C1CCN(C(=O)OCc2ccccc2)CC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C(CC)CC)C1CCN(C(=O)OCc2ccccc2)CC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C(C)CC)C1CCN(C(=O)OCc2ccccc2)CC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCOCC1)C1CCN(C(=O)OCc2ccccc2)CC1)C[Si](C)(C)C,1
CC(C)(C)c1ccc(C(COC[Si](C)(C)C)/N=C/c2ccc(Cl)cc2)cc1,1
CC(=O)Nc1ccc(/C=N/C(COC[Si](C)(C)C)c2ccc(C(C)(C)C)cc2)cc1,1
CC(C)(C)c1ccc(C(COC[Si](C)(C)C)/N=C/c2cnc(-c3ccccc3)nc2)cc1,1
Cn1c(/C=N/C(COC[Si](C)(C)C)c2ccc(C(C)(C)C)cc2)nc2ccccc21,0
Cn1cc(/C=N/C(COC[Si](C)(C)C)c2ccc(C(C)(C)C)cc2)cn1,1
CCCC(C)/C=N/C(COC[Si](C)(C)C)c1ccc(C(C)(C)C)cc1,0
CC(C)(C)c1ccc(C(COC[Si](C)(C)C)/N=C/C2CCCC2)cc1,1
C[Si](C)(C)COCC(/N=C/c1ccc(Cl)cc1)c1cc(Cl)cc(Cl)c1,0
CC(=O)Nc1ccc(/C=N/C(COC[Si](C)(C)C)c2cc(Cl)cc(Cl)c2)cc1,1
C[Si](C)(C)COCC(/N=C/c1ccc(CN2CCOCC2)cc1)c1cc(Cl)cc(Cl)c1,1
C[Si](C)(C)COCC(/N=C/c1cccnc1)c1cc(Cl)cc(Cl)c1,1
C[Si](C)(C)COCC(/N=C/c1cnc(-c2ccccc2)nc1)c1cc(Cl)cc(Cl)c1,0
Cn1c(/C=N/C(COC[Si](C)(C)C)c2cc(Cl)cc(Cl)c2)nc2ccccc21,0
Cn1cc(/C=N/C(COC[Si](C)(C)C)c2cc(Cl)cc(Cl)c2)cn1,1
CCC(/C=N/C(COC[Si](C)(C)C)c1cc(Cl)cc(Cl)c1)CC,0
CCCC(C)/C=N/C(COC[Si](C)(C)C)c1cc(Cl)cc(Cl)c1,0
C[Si](C)(C)COCC(/N=C/c1ccc(Cl)cc1)c1cccc(Br)c1,1
CC(=O)Nc1ccc(/C=N/C(COC[Si](C)(C)C)c2cccc(Br)c2)cc1,1
C[Si](C)(C)COCC(/N=C/c1ccc(F)c(C#N)c1)c1cccc(Br)c1,1
C[Si](C)(C)COCC(/N=C/c1ccc(CN2CCOCC2)cc1)c1cccc(Br)c1,1
C[Si](C)(C)COCC(/N=C/c1cccnc1)c1cccc(Br)c1,1
C[Si](C)(C)COCC(/N=C/c1cnc(-c2ccccc2)nc1)c1cccc(Br)c1,1
Cn1c(/C=N/C(COC[Si](C)(C)C)c2cccc(Br)c2)nc2ccccc21,0
Cn1cc(/C=N/C(COC[Si](C)(C)C)c2cccc(Br)c2)cn1,1
CCC(/C=N/C(COC[Si](C)(C)C)c1cccc(Br)c1)CC,1
C[Si](C)(C)COCC(/N=C/C1CCCC1)c1cccc(Br)c1,1
C[Si](C)(C)COCC(/N=C/C1CCCCC1)c1cccc(Br)c1,1
C[Si](C)(C)COCC(/N=C/c1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1,0
CC(=O)Nc1ccc(/C=N/C(COC[Si](C)(C)C)c2ccc(C(F)(F)F)cc2)cc1,1
C[Si](C)(C)COCC(/N=C/c1ccc(F)c(C#N)c1)c1ccc(C(F)(F)F)cc1,1
C[Si](C)(C)COCC(/N=C/c1cccnc1)c1ccc(C(F)(F)F)cc1,0
Cn1c(/C=N/C(COC[Si](C)(C)C)c2ccc(C(F)(F)F)cc2)nc2ccccc21,0
Cn1cc(/C=N/C(COC[Si](C)(C)C)c2ccc(C(F)(F)F)cc2)cn1,1
CCC(/C=N/C(COC[Si](C)(C)C)c1ccc(C(F)(F)F)cc1)CC,0
CCCC(C)/C=N/C(COC[Si](C)(C)C)c1ccc(C(F)(F)F)cc1,0
C[Si](C)(C)COCC(/N=C/C1CCCC1)c1ccc(C(F)(F)F)cc1,0
C[Si](C)(C)COCC(/N=C/C1CCCCC1)c1ccc(C(F)(F)F)cc1,0
COC(=O)c1ccc(C(COC[Si](C)(C)C)/N=C/c2ccc(Cl)cc2)cc1,1
COC(=O)c1ccc(C(COC[Si](C)(C)C)/N=C/c2ccc(NC(C)=O)cc2)cc1,1
COC(=O)c1ccc(C(COC[Si](C)(C)C)/N=C/c2ccc(F)c(C#N)c2)cc1,1
COC(=O)c1ccc(C(COC[Si](C)(C)C)/N=C/c2ccc(CN3CCOCC3)cc2)cc1,1
COC(=O)c1ccc(C(COC[Si](C)(C)C)/N=C/c2cccnc2)cc1,1
COC(=O)c1ccc(C(COC[Si](C)(C)C)/N=C/c2cnc(-c3ccccc3)nc2)cc1,1
